,tagId,Total Uses,Tag Name
182,230902,165,Shiro (Voltron)
183,878,164,Castiel
184,6576,161,Implied/Referenced Child Abuse
185,23379,159,Cuddling & Snuggling
186,32788,158,Talia Hale
187,19678,158,Hunk (Voltron)
188,61610,158,Haikyuu!!
189,20193,156,Jarvis (Iron Man movies)
190,20846,155,Melissa McCall
191,1750,155,Merlin (TV)
192,1163,155,Kidnapping
193,1202,154,Remus Lupin
194,214843,154,Kaminari Denki
195,255982,152,Shinsou Hitoshi
196,5340,151,Jealousy
197,2342,151,Canon Compliant
198,39839,151,Alpha/Omega
199,2444,150,Rough Sex
200,47758,150,"James ""Bucky"" Barnes/Tony Stark"
201,459962,149,Lán Zhàn | Lán Wàngjī
202,3054,149,Alternate Universe - High School
203,17238,149,Darcy Lewis
204,14331,148,Fluff and Humor
205,459963,148,Wèi Yīng | Wèi Wúxiàn
206,1612,147,Possessive Behavior
207,29541,145,Chris Argent
208,7720,145,Sexual Content
209,30846,144,Thor (Movies)
210,323788,142,Ned Leeds
211,2708,140,Sexual Tension
212,209574,140,Bakugou Katsuki/Midoriya Izuku
213,697,140,AU
214,303406,140,Kim Namjoon | RM
215,8972,140,Depression
216,18152,138,Original Male Character(s)
217,88783,137,Allura (Voltron)
218,3599,137,Hatake Kakashi
219,1430,133,Family
220,261092,133,Yuri Plisetsky
221,10870,131,Love Confessions
222,720,130,Magic
223,2359,130,Multiple Orgasms
224,15877,130,Pepper Potts/Tony Stark
225,13064,129,Minor or Background Relationship(s)
226,3416,129,Developing Relationship
227,33414,127,Peter Hale/Stiles Stilinski
228,186469,126,Aziraphale/Crowley (Good Omens)
229,134,126,Post-Canon
230,18921,126,Enemies to Friends to Lovers
231,18151,126,Original Female Character(s)
232,91946,126,Vision (Marvel)
233,19378,125,Captain America - All Media Types
234,28781,124,One Direction (Band)
235,236281,124,Bakugou Katsuki Swears A Lot
236,7150,124,Uzumaki Naruto
237,7978,124,Barebacking
238,2689,124,Torture
239,662,124,Ginny Weasley
240,6042,123,Sharing a Bed
241,171,123,Kissing
242,368,122,Pre-Slash
243,24539,122,Miscommunication
244,2869,122,Crowley (Good Omens)
245,19692,122,Pidge (Voltron)
246,22255,122,Happy Hogan
247,1707,121,Neville Longbottom
248,226097,121,Ashido Mina
249,116,120,Drama
250,2,120,Other
251,129502,119,Anya (The 100)
252,1382,118,Spanking
253,80011,118,Kira Yukimura
254,29837,117,Harry Styles/Louis Tomlinson
255,8921,117,Good Omens - Neil Gaiman & Terry Pratchett
256,1512,116,Biting
257,18952,116,Stephen Strange
258,1389,116,Age Difference
259,5573,115,Arranged Marriage
260,1564,115,Luna Lovegood
261,33990,115,Scent Marking
262,178596,114,Supergirl (TV 2015)
263,17626,114,Anxiety
264,3544,113,Minerva McGonagall
265,1726,113,Plot What Plot/Porn Without Plot
266,4111,113,Polyamory
267,2697,112,Avatar: The Last Airbender
268,29122,112,Maria Hill
269,100886,112,Good Omens (TV)
270,7691,111,Blaise Zabini
271,4640,111,Identity Reveal
272,1525,111,Star Wars - All Media Types
273,5457,110,Wade Wilson
274,504,110,Lucius Malfoy
275,252398,109,Civil War Team Iron Man
276,20442,109,Peggy Carter
277,94032,109,Bellamy Blake
278,5547,109,Loss of Virginity
279,9741,109,Mycroft Holmes
280,10301,108,Merlin (Merlin)
281,175913,108,Miraculous Ladybug
282,107184,108,Aziraphale (Good Omens)
283,2891,107,Pansy Parkinson
284,264868,107,Phichit Chulanont
285,2354,107,Secret Identity
286,280697,106,Yamada Hizashi | Present Mic
287,260541,106,Kara Danvers/Lena Luthor
288,304370,106,Geralt z Rivii | Geralt of Rivia/Jaskier | Dandelion
289,51557,106,May Parker (Spider-Man)
290,151455,105,Bakugou Katsuki/Kirishima Eijirou
291,5753,105,Alternate Universe - Time Travel
292,887,104,Sex Toys
293,10028,104,Matt Murdock
294,29934,104,Tom Riddle | Voldemort
295,291393,104,not team Cap friendly
296,3316,103,Nightmares
297,229883,103,Coran (Voltron)
298,772,103,Domestic
299,1460,102,Sam Wilson
300,860,101,Bruce Wayne
301,34258,101,Scenting
302,5100,101,Zuko (Avatar)
303,304371,101,The Witcher (TV)
304,5164,101,Coming Out
305,5602,101,Bullying
306,178598,101,Kara Danvers
307,3720,100,Alternate Universe - No Powers
308,45038,100,Narcissa Black Malfoy
309,27472,100,Tooth-Rotting Fluff
310,5125,100,Explicit Language
311,15642,100,Merlin/Arthur Pendragon (Merlin)
312,825,100,Flirting
313,226099,100,Yaoyorozu Momo
314,28782,99,Harry Styles
315,31178,99,Kate Argent
316,22111,99,Louis Tomlinson
317,86084,99,Social Media
318,6562,98,Enemies to Lovers
319,9535,98,Mildly Dubious Consent
320,6300,98,Bilbo Baggins
321,16639,98,Lena Luthor
322,101213,97,Abby Griffin
323,28778,97,Mates
324,54468,97,Idiots in Love
325,9966,97,Thor
326,16614,97,Team as Family
327,42473,97,Bilbo Baggins/Thorin Oakenshield
328,10823,97,Uchiha Sasuke
329,17360,97,Swearing
330,694,97,Homophobia
331,43382,96,The Hobbit - All Media Types
332,341875,96,Michelle Jones
333,133550,96,Clarke Griffin & Lexa
334,104046,94,Lincoln (The 100)
335,42369,94,Thorin Oakenshield
336,26963,94,Texting
337,1493,94,Dom/sub
338,7488,93,Angst and Humor
339,3159,93,Porn With Plot
340,9538,93,Semi-Public Sex
341,1826,93,James T. Kirk/Spock
342,21446,92,Mental Health Issues
343,53339,92,Hannibal (TV)
344,30752,92,Peter Parker/Wade Wilson
345,29542,92,Pack Dynamics
346,46919,92,Time Travel Fix-It
347,862,92,Voyeurism
348,42,91,Crossover
349,922,90,Unresolved Sexual Tension
350,27401,90,Omega Verse
351,10302,90,Arthur Pendragon (Merlin)
352,116194,90,Geralt z Rivii | Geralt of Rivia
353,476513,90,Jiāng Chéng | Jiāng Wǎnyín
354,53753,90,Will Graham/Hannibal Lecter
355,1508,90,Blood
356,7151,90,Haruno Sakura
357,151926,90,Jaskier | Dandelion
358,8,90,POV Outsider
359,26047,90,Greg Lestrade
360,393,90,Bonding
361,5632,89,Daddy Kink
362,18074,89,Harry Potter/Tom Riddle
363,174,89,Slash
364,57207,88,Alive Hale Family
365,226096,88,Asui Tsuyu
366,832,88,Podfic Available
367,36689,87,Vernon Boyd/Erica Reyes
368,18724,87,Overstimulation
369,27199,87,Eventual Happy Ending
370,29481,87,Niall Horan
371,795,86,Past Child Abuse
372,3405,86,Character Death
373,62206,86,Alternate Universe - Werewolves Are Known
374,129652,86,Kim Namjoon | Rap Monster/Kim Seokjin | Jin
375,165134,86,Star Wars Episode VII: The Force Awakens (2015)
376,40303,86,Aged-Up Character(s)
377,10580,84,Suicidal Thoughts
378,8347,84,Friends With Benefits
379,340276,84,Todoroki Enji | Endeavor
380,14209,84,Porn with Feelings
381,3794,83,First Meetings
382,24980,83,Switching
383,11899,83,Families of Choice
384,9399,83,Hannibal Lecter
385,135032,83,Daredevil (TV)
386,33343,83,Jane Foster (Marvel)
387,1008,82,Phone Sex
388,37534,82,Magical Stiles Stilinski
389,27346,82,Eventual Romance
390,9400,82,Will Graham
391,136439,82,T'Challa (Marvel)
392,226094,82,Jirou Kyouka
393,17986,81,Marvel (Movies)
394,1276,81,Secret Relationship
395,178597,81,Alex Danvers
396,36419,81,Flash Thompson
397,173125,81,Wiedźmin | The Witcher - All Media Types
398,1465,80,Child Abuse
399,6305,80,Charles Xavier
400,34618,80,Protective Tony Stark
401,48852,80,BAMF Stiles
402,218850,80,BAMF Midoriya Izuku
403,165136,79,Rey (Star Wars)
404,27127,78,5+1 Things
405,13468,78,Soul Bond
406,19089,78,Hogwarts Eighth Year
407,265627,78,Christophe Giacometti
408,282247,78,Precious Peter Parker
409,22110,78,Liam Payne
410,181048,78,Adrien Agreste/Marinette Dupain-Cheng
411,18305,77,Do not repost
412,39667,77,Family Feels
413,29480,77,Zayn Malik
414,48221,77,Meet-Cute
415,88042,77,Scott Lang
416,22958,77,Clint Barton/Phil Coulson
417,3216,76,Hermione Granger/Ron Weasley
418,466098,76,Lán Huàn | Lán Xīchén
419,1464,76,Past Abuse
420,3417,76,Don’t copy to another site
421,48678,76,Deadpool - All Media Types
422,214842,75,Sero Hanta
423,100,75,James Potter
424,5948,75,Size Kink
425,181975,75,Adrien Agreste
426,339231,75,Shigaraki Tomura | Shimura Tenko
427,181976,75,Marinette Dupain-Cheng
428,10872,75,Complete
429,516,75,Threesome - M/M/M
430,149016,75,Friday (Marvel)
431,493426,75,陈情令 | The Untamed (TV)
432,187176,74,Poe Dameron
433,888,74,Action/Adventure
434,3217,74,George Weasley
435,861,73,Orgasm Delay/Denial
436,953,73,Bondage
437,50180,73,Tony Stark & Avengers Team
438,39685,72,Alpha Derek
439,42558,72,Alternate Universe - Coffee Shops & Cafés
440,5436,72,Alternate Universe - Fantasy
441,20997,72,Mating
442,173632,72,Jeon Jungkook/Min Yoongi | Suga
443,6452,71,Underage Drinking
444,20929,71,Dom/sub Undertones
445,37937,71,Found Family
446,75478,71,Protective Bucky Barnes
447,192,71,PTSD
448,232083,70,Midoriya Izuku & Yagi Toshinori | All Might
449,9947,70,Marking
450,10373,70,Sherlock Holmes & Related Fandoms
451,5851,70,Alcohol
452,187914,70,Kylo Ren/Rey
453,1221,70,Exhibitionism
454,36692,70,Pack Feels
455,89057,70,Post-Captain America: The Winter Soldier
456,5389,70,Aftercare
457,23575,69,Lydia Martin/Jackson Whittemore
458,5529,69,Erik Lehnsherr
459,27122,69,"Franklin ""Foggy"" Nelson"
460,1828,69,James T. Kirk
461,371961,68,Midoriya Izuku Has a Quirk
462,377626,68,Aizawa Shouta | Eraserhead & Midoriya Izuku
463,57096,68,Shingeki no Kyojin | Attack on Titan
464,178,68,Comedy
465,165135,68,Finn (Star Wars)
466,22326,67,Batman - All Media Types
467,29372,67,Iron Man - All Media Types
468,50654,66,Emotional/Psychological Abuse
469,5257,66,Sex
470,6330,66,Recreational Drug Use
471,93209,66,Monty Green
472,3013,65,Dick Grayson
473,9009,65,Implied/Referenced Rape/Non-con
474,3682,65,Sokka (Avatar)
475,35229,65,Sort Of
476,37895,65,Alternate Universe - No Hale Fire
477,106245,65,Oikawa Tooru
478,3889,65,Self-Harm
479,42368,65,Kíli
480,6686,65,Identity Porn
481,59123,65,Howard Stark's A+ Parenting
482,63141,64,Mating Bond
483,2188,64,Werewolves
484,1233,64,POV Alternating
485,693,64,Internalized Homophobia
486,270989,64,Yakov Feltsman
487,42367,64,Fíli
488,4084,64,Fred Weasley
489,36096,63,Alternate Universe - Everyone Lives/Nobody Dies
490,29464,63,Tony Feels
491,10895,63,Star Trek: Alternate Original Series (Movies)
492,101233,63,Peter Parker & Avengers Team
493,5862,63,Insecurity
494,225852,62,Top Jeon Jungkook
495,17574,62,Erik Lehnsherr/Charles Xavier
496,280696,62,Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic
497,5075,62,Banter
498,31826,62,Touch-Starved
499,38564,62,Hurt Tony Stark
