,tagId,Total Uses,Tag Name,Tag Type
0,1,3330456,No Archive Warnings Apply,warning
1,17,2985682,M/M,category
2,9,2109990,Creator Chose Not To Use Archive Warnings,warning
3,44,1479848,F/M,category
4,38,1126315,Gen,category
5,121,758774,Fluff,generic
6,15,541940,Angst,generic
7,105,521283,F/F,category
8,413,411540,Graphic Depictions Of Violence,warning
9,31,297939,Major Character Death,warning
10,213,286975,Multi,category
11,621,279718,Hurt/Comfort,generic
12,287,271819,Romance,generic
13,1934,219313,Harry Potter - J. K. Rowling,fandom
14,90,216811,Supernatural,fandom
15,103,215044,Alternate Universe,generic
16,286,213262,Established Relationship,generic
17,509,184421,Smut,generic
18,8020,181007,Marvel Cinematic Universe,fandom
19,144,178570,Alternate Universe - Canon Divergence,generic
20,2,175084,Other,category
21,250,170524,Humor,generic
22,92,165332,Dean Winchester,character
23,1462,153607,Steve Rogers,character
24,204,149675,Rape/Non-Con,warning
25,1461,148894,Tony Stark,character
26,2533,148534,Anal Sex,generic
27,10911,145691,Fluff and Angst,generic
28,298,143653,Underage,warning
29,881,138874,Friendship,generic
30,1757,135399,Alternate Universe - Modern Setting,generic
31,96,132509,Sam Winchester,character
32,476,129010,Original Characters,character
33,26269,123369,The Avengers (Marvel Movies),fandom
34,74900,122268,방탄소년단 | Bangtan Boys | BTS,fandom
35,18151,119631,Original Female Character(s),character
36,102,116118,Drabble,generic
37,7801,112323,Emotional Hurt/Comfort,generic
38,10216,111159,Sherlock (TV),fandom
39,826,108085,Oral Sex,generic
40,151456,107203,僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia,fandom
41,20845,105087,Teen Wolf (TV),fandom
42,24540,104421,Angst with a Happy Ending,generic
43,18917,103917,Slow Burn,generic
44,1660,101393,Harry Potter,character
45,4688,98826,Reader,character
46,356,98370,One Shot,generic
47,19379,97363,"James ""Bucky"" Barnes",character
48,447,95496,Sherlock Holmes,character
49,1726,90384,Plot What Plot/Porn Without Plot,generic
50,116,89433,Drama,generic
51,2709,86755,First Kiss,generic
52,818,83587,Friends to Lovers,generic
53,10291,82581,Clint Barton,character
54,171,81828,Kissing,generic
55,450,81360,John Watson,character
56,20991,80926,Stiles Stilinski,character
57,187,79518,First Time,generic
58,1600,79396,Blow Jobs,generic
59,19377,78689,Captain America (Movies),fandom
60,5037,78473,Castiel/Dean Winchester,relationship
61,154631,77582,Jeon Jungkook,character
62,14207,77469,Fluff and Smut,generic
63,878,77300,Castiel,character
64,85876,75733,Min Yoongi | Suga,character
65,135573,75260,Park Jimin (BTS),character
66,2918,74383,Original Work,fandom
67,697,74168,AU,generic
68,1856,73874,Alternate Universe - College/University,generic
69,3831,73863,Domestic Fluff,generic
70,230901,73103,Voltron: Legendary Defender,fandom
71,18152,72932,Original Male Character(s),character
72,115548,72732,Kim Taehyung | V,character
73,863,72415,Pining,generic
74,2342,72316,Canon Compliant,generic
75,31842,72152,Light Angst,generic
76,2817,70909,Love,generic
77,1430,68822,Family,generic
78,26311,68146,Other Additional Tags to Be Added,generic
79,1596,67148,Anal Fingering,generic
80,61610,67036,Haikyuu!!,fandom
81,134,66981,Post-Canon,generic
82,20847,66284,Derek Hale,character
83,1172,65722,Violence,generic
84,10913,63877,Explicit Sexual Content,generic
85,336,62859,Draco Malfoy,character
86,1525,62806,Star Wars - All Media Types,fandom
87,500,62113,Hermione Granger,character
88,714,61011,Canon-Typical Violence,generic
89,110855,60460,Jung Hoseok | J-Hope,character
90,1590,60280,Masturbation,generic
91,14610,60213,Mutual Pining,generic
92,115547,60045,Kim Seokjin | Jin,character
93,2236,59166,Happy Ending,generic
94,459,57863,Crack,generic
95,3253,57810,Sherlock Holmes/John Watson,relationship
96,20952,57057,Derek Hale/Stiles Stilinski,relationship
97,42,55981,Crossover,generic
98,152678,55949,Midoriya Izuku,character
99,2304,55895,Peter Parker,character
100,19464,54878,Keith (Voltron),character
101,17237,54489,Thor (Marvel),character
102,3224,54151,Naruto,fandom
103,151458,53855,Bakugou Katsuki,character
104,20996,53839,Alpha/Beta/Omega Dynamics,generic
105,28781,53720,One Direction (Band),fandom
106,1007,53541,Dirty Talk,generic
107,22537,52706,Bruce Banner,character
108,9042,52335,Homestuck,fandom
109,8972,51719,Depression,generic
110,2444,51497,Rough Sex,generic
111,3405,50635,Character Death,generic
112,10870,50016,Love Confessions,generic
113,3054,49287,Alternate Universe - High School,generic
114,1554,48917,Character Study,generic
115,14331,48903,Fluff and Humor,generic
116,19465,48613,Lance (Voltron),character
117,17777,47368,Loki (Marvel),character
118,5257,47132,Sex,generic
119,28417,46780,The Avengers (Marvel) - All Media Types,fandom
120,19891,46736,"James ""Bucky"" Barnes/Steve Rogers",relationship
121,16147,45567,Natasha Romanov,character
122,7720,45380,Sexual Content,generic
123,230902,44973,Shiro (Voltron),character
124,17342,44497,Post-Traumatic Stress Disorder - PTSD,generic
125,28782,44412,Harry Styles,character
126,1595,44310,Hand Jobs,generic
127,303406,44076,Kim Namjoon | RM,character
128,24937,43836,Once Upon a Time (TV),fandom
129,2827,43689,Rimming,generic
130,1508,43564,Blood,generic
131,2363,42784,Falling In Love,generic
132,4889,42344,Game of Thrones (TV),fandom
133,13854,42315,Cute,generic
134,57096,42206,Shingeki no Kyojin | Attack on Titan,fandom
135,2684,42065,Ron Weasley,character
136,22111,41560,Louis Tomlinson,character
137,38528,41248,Natasha Romanov (Marvel),character
138,14527,40922,Angst and Hurt/Comfort,generic
139,3718,40327,Getting Together,generic
140,4111,40312,Polyamory,generic
141,27347,40215,Eventual Smut,generic
